,序号,标题,链接,导演,评分,评价人数,简介
89,90,喜剧之王,https://movie.douban.com/subject/1302425/,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...,8.8,1095328人评价,
90,91,杀人回忆,https://movie.douban.com/subject/1300299/,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,8.9,837513人评价,
91,92,致命ID,https://movie.douban.com/subject/1297192/,导演: 詹姆斯·曼高德 James Mangold   主演: 约翰·库萨克 John Cusack / 雷...,8.9,949373人评价,
92,93,摩登时代,https://movie.douban.com/subject/1294371/,导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...,9.3,347068人评价,
93,94,春光乍泄,https://movie.douban.com/subject/1292679/,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,9.0,709679人评价,
94,95,加勒比海盗,https://movie.douban.com/subject/1298070/,导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...,8.8,969026人评价,
95,96,海豚湾,https://movie.douban.com/subject/3442220/,导演: 路易·西霍尤斯 Louie Psihoyos   主演: 路易·西霍尤斯 Louie Psihoyo...,9.3,382531人评价,海豚的微笑，是世界上最高明的伪装。
96,97,美国往事,https://movie.douban.com/subject/1292262/,导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...,9.1,472032人评价,
97,98,红辣椒,https://movie.douban.com/subject/1865703/,导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...,9.0,570521人评价,梦的勾结。
98,99,七宗罪,https://movie.douban.com/subject/1292223/,导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...,8.8,1062119人评价,
99,100,唐伯虎点秋香,https://movie.douban.com/subject/1306249/,导演: 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,8.8,1225130人评价,
100,101,狩猎,https://movie.douban.com/subject/6985810/,导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...,9.1,470947人评价,人言可畏。
101,102,幽灵公主,https://movie.douban.com/subject/1297359/,导演: 宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Matsuda / 石田百合...,8.9,670215人评价,
102,103,甜蜜蜜,https://movie.douban.com/subject/1305164/,导演: 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,8.9,673908人评价,
103,104,寄生虫,https://movie.douban.com/subject/27010768/,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun...,8.8,1549387人评价,
104,105,天书奇谭,https://movie.douban.com/subject/1428581/,导演: 王树忱 Shuchen Wang / 钱运达 Yunda Qian   主演: 丁建华 Jianhua Din...,9.2,335513人评价,
105,106,蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...,8.9,814926人评价,诺兰就是保证。
106,107,超能陆战队,https://movie.douban.com/subject/11026735/,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams   主演: 斯科特...,8.8,1146439人评价,Balalala~~~
107,108,7号房的礼物,https://movie.douban.com/subject/10777687/,导演: 李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,8.9,622678人评价,《我是山姆》的《美丽人生》。
108,109,第六感,https://movie.douban.com/subject/1297630/,导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...,8.9,638874人评价,
109,110,茶馆,https://movie.douban.com/subject/1461403/,导演: 谢添 Tian Xie   主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,9.5,209351人评价,
110,111,爱在黎明破晓前,https://movie.douban.com/subject/1296339/,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...,8.8,802162人评价,
111,112,爱在日落黄昏时,https://movie.douban.com/subject/1291990/,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...,8.9,654838人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
112,113,被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...,8.8,775919人评价,以戏谑来戏谑戏谑。
113,114,头脑特工队,https://movie.douban.com/subject/10533913/,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,8.8,807645人评价,愿我们都不用长大，每一座城堡都能永远存在。
114,115,哈利·波特与火焰杯,https://movie.douban.com/subject/1309055/,导演: 迈克·内威尔 Mike Newell   主演: 丹尼尔·雷德克里夫 Daniel Radclif...,8.8,803043人评价,
115,116,未麻的部屋,https://movie.douban.com/subject/1395091/,导演: 今敏 Satoshi Kon   主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,9.1,426305人评价,
116,117,重庆森林,https://movie.douban.com/subject/1291999/,导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...,8.8,923965人评价,
117,118,借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,导演: 米林宏昌 Hiromasa Yonebayashi   主演: 志田未来 Mirai Shida / 神木...,8.9,628729人评价,曾经的那段美好会沉淀为一辈子的记忆。
118,119,菊次郎的夏天,https://movie.douban.com/subject/1293359/,导演: 北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano / 关口雄介 Yus...,8.9,674473人评价,
119,120,入殓师,https://movie.douban.com/subject/2149806/,导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...,8.9,743734人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
120,121,断背山,https://movie.douban.com/subject/1418834/,导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,8.8,783923人评价,每个人心中都有一座断背山。
121,122,剪刀手爱德华,https://movie.douban.com/subject/1292370/,导演: 蒂姆·波顿 Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...,8.7,1121631人评价,
122,123,勇敢的心,https://movie.douban.com/subject/1294639/,导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...,8.9,606296人评价,
123,124,时空恋旅人,https://movie.douban.com/subject/10577869/,导演: 理查德·柯蒂斯 Richard Curtis   主演: 多姆纳尔·格里森 Domhnall Gl...,8.8,794769人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
124,125,驯龙高手,https://movie.douban.com/subject/2353023/,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...,8.8,867184人评价,和谐的生活离不开摸头与被摸头。
125,126,消失的爱人,https://movie.douban.com/subject/21318488/,导演: 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...,8.7,1075162人评价,年度最佳date movie。
126,127,无人知晓,https://movie.douban.com/subject/1292337/,导演: 是枝裕和 Hirokazu Koreeda   主演: 柳乐优弥 Yûya Yagira / 北浦爱...,9.1,373258人评价,我的平常生活就是他人的幸福。
127,128,倩女幽魂,https://movie.douban.com/subject/1297447/,导演: 程小东 Siu-Tung Ching   主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...,8.8,836998人评价,
128,129,傲慢与偏见,https://movie.douban.com/subject/1418200/,导演: 乔·怀特 Joe Wright   主演: 凯拉·奈特莉 Keira Knightley / 马修·...,8.7,937723人评价,爱是摈弃傲慢与偏见之后的曙光。
129,130,新世界,https://movie.douban.com/subject/10437779/,导演: 朴勋政 Hoon-jung Park   主演: 李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,8.9,529057人评价,要做就做得狠一点，这样才能活下去。
130,131,花样年华,https://movie.douban.com/subject/1291557/,导演: 王家卫 Kar Wai Wong   主演: 张曼玉 Maggie Cheung / 梁朝伟 Tony Leu...,8.8,806917人评价,
131,132,玩具总动员3,https://movie.douban.com/subject/1858711/,导演: 李·昂克里奇 Lee Unkrich   主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,8.9,594028人评价,跨度十五年的欢乐与泪水。
132,133,一个叫欧维的男人决定去死,https://movie.douban.com/subject/26628357/,导演: 汉内斯·赫尔姆 Hannes Holm   主演: 罗夫·拉斯加德 Rolf Lassgård...,8.9,570586人评价,惠及一生的美丽。
